,station,name,ribbonType,menu,priceRange
92,왕십리,성수스타우트,NOT,"생맥주(7천원~1만3천원), 비어샘플러(1만8천원), 오늘의파스타(1만8천원), 햄&치즈플래터(2만3천원)",1~2만원대
93,왕십리,성수아구찜,NOT,"아귀탕, 아귀찜(각 소 3만5천원, 중 4만원, 대 4만5천원), 복매운찜, 복매운탕(소 3만5천원, 중 4만원, 대 4만5천원)",1~2만원대
94,청량리,어머니대성집,RIBBON_TWO,"해장국(1만원), 육회비빔밥(1만5천원), 육회, 내장수육, 소고기수육(각 3만5천원), 꼬치산적(1인 1만원), 모둠수육, 등골(각 4만원)",1~2만원대
95,청량리,경발원,RIBBON_ONE,"짜장면, 짬뽕, 우동(각 6천원), 깐풍기(3만원), 팔보채(소 4만원, 중 6만원, 대 8만원)",2~4만원대
96,청량리,성천막국수,RIBBON_ONE,"물막국수(6천5백원), 비빔막국수(7천원), 물막국수정식(9천5백원), 비빔막국수정식(1만원), 제육(반접시 5천5백원, 한접시 1만1천원)",1만원 미만
97,청량리,영화장,RIBBON_ONE,"굴짬뽕(8천5백원), 짜장면(5천5백원), 볶음밥(7천원), 깐풍기(2만9천원), 탕수육(2만2천원), 유린기(3만2천원)",1~2만원대
98,청량리,일광쪽갈비,RIBBON_ONE,쪽갈비(200g 1만1천원),1~2만원대
99,청량리,홍릉각,RIBBON_ONE,"육미짜장면(6천6백원), 육미간짜장(2인 이상, 8천8백원), 굴짬뽕(7천7백원), 탕수육(1만8천원), 라조기, 깐풍기(각 2만원)",1~2만원대
100,청량리,경북손칼국수,NOT,손칼국수(6천원),1만원 미만
101,청량리,남원추어탕(장안점),NOT,"추어탕(8천원), 미꾸라지숙회(중 2만원, 대 3만원)",1만원 미만
102,청량리,남화루,NOT,"짜장면(4천5백원), 짬뽕(5천원), 해물누룽지탕(2만5천원)",1~2만원대
103,청량리,노바이탈리아노,NOT,"샐러드(1만3천2백원~1만5천2백원), 피자(1만3천6백원~2만3천원), 파스타(1만3천8백원~1만4천8백원), 안심스테이크(3만8천원), 안심스트로가노프(3만6천원), 연어스테이크(3만4천원)",2~4만원대
104,청량리,녹원,NOT,"이슬차, 국화차, 녹차, 대추차, 생과일 주스 등(각 3천5백원~4천5백원)",1만원 미만
105,청량리,동강민물매운탕,NOT,"빠가+메기매운탕(소 3만5천원, 중 4만원, 대 4만5천원), 메기매운탕(소 2만2천원, 중 2만7천원, 대 3만2천원), 잡고기매운탕(소 3만원, 중 3만5천원, 대 4만원)",2~4만원대
106,청량리,봉이만두,NOT,"부추만두(8개 5천원), 만둣국(7천원)",1만원 미만
107,청량리,봉평메밀,NOT,"메밀물막국수(6천원), 메밀비빔막국수(6천원), 메밀묵밥(6천원), 메밀만두(5천원), 메밀부침(5천원)",1만원 미만
108,청량리,북배산흑염소,NOT,"흑염소탕(1만2천원), 흑염소수육(2만7천원)",1~2만원대
109,청량리,비사벌전주콩나물국밥(장안점),NOT,콩나물국밥(6천원),1만원 미만
110,청량리,소정,NOT,"아귀회(2kg 7만원), 아귀수육(2kg 8만원)",4~10만원대
111,청량리,수목원맛쌈밥,NOT,"전복영양탕(대 5만원, 중 3만원), 전복삼합(4만원)",2~4만원대
112,청량리,신설홍어횟집,NOT,"홍어무침(소 4만원, 중 5만원, 대 6만원), 홍어삼합, 홍어찜, 홍어탕(각 소 4만원, 중 6만원, 대 9만원), 홍어정식(7만원), 흑산도홍어정식(11만원), 흑산도홍어회(13만원)",2~4만원대
113,청량리,신용궁,NOT,"짜장면(4천원), 짬뽕(4천5백원), 해물쟁반짜장(대 1만3천원, 중 9천원, 소 5천원), 볶음밥(5천원), 탕수육(대 2만2천원, 중 1만7천원, 소 1만2천원), 깐풍기, 양장피(각 2만3천원), 간소새우, 팔보채(각 2만7천원)",1~2만원대
114,청량리,안씨네쭈꾸미,NOT,"주꾸미볶음(1만2천원), 주꾸미데침(1만3천원),주꾸미삼겹살(1만4천원),낙지철판볶음(1만5천원), 대하(1만2천원), 삼겹살(8천원)",1~2만원대
115,청량리,양가네분식,NOT,"김밥(2천원), 비빔밥(5천원), 떡볶이(2천원)",1만원 미만
116,청량리,옥천옥,NOT,"설렁탕(8천원, 특 1만2천원), 도가니탕(1만3천원), 꼬리곰탕(1만5천원), 수육, 도가니수육(각 소 2만5천원, 중 3만원, 대 3만5천원), 꼬리찜(중 3만5천원, 대 4만5천원)",1~2만원대
117,청량리,와가리피순대,NOT,"모둠순대(소 2만원, 대 2만5천원), 순댓국(8천원, 특 9천원), 소머리국밥(9천원, 특 1만원), 순대전골(중 2만5천원, 대 3만원), 소머리수육(3만5천원)",1만원 미만
118,청량리,용성,NOT,"런치코스(1인 1만8천원~3만3천원), 디너코스(1인 4만원~8만원), 냉채류(3만원~7만원), 자연송이&전복류(4만원~10만원), 바닷가재&새우류(3만원~8만원), 쇠고기류(2만5천원~7만원), 돼지고기류(1만7천원~5만원), 해물쟁반짜장(6천원), 해물왕짬뽕(8천원)",4~10만원대
